headword	text	sense1	sense2	sense3	sense4	sense5	sense6	sense7
lodička-n	Ženy ocení <lodičky> nebo boty na klínku, které jsou nejen zdravotní, ale také krásné a elegantní.	a1.s2	a2.s2	a3.s2	a4.s1	a5.s2	a6.s2	a7.s2
lodička-n	Je možné si udělat krásný výlet ke Skadarskému jezeru, zastavit se na oběd ve Virpazaru, projet se <lodičkou> po jedinečném Skadarském jezeru.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
lodička-n	Chceš se naučit dobře jezdit, eskymovat... nebo chceš zůstat amatérem, nikam se nehnát a prostě jen se někdy povozit na <lodičce> bez ambicí na nějaké výkony?	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
lodička-n	Výlet zahrnoval krátkou procházku po okolí, exkurzi Punkevních jeskyní s anglickou průvodkyní, prohlídku samotné propasti a plavbu na <lodičkách> po řece Punkvě.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
lodička-n	Lovení vodních živočichů, Soutěž o ceny v malování, stopována - Za tajemstvím vody, mikroskopování, ochutnávka vody, <lodičky> z kůry, pokusy s vodou Datum: 20.3.2015, 13:00 hod. – 20.3.2015, 17:00 hod.	a1.s1	a2.s3	a3.s3	a4.s2	a5.s1	a6.s1	a7.s1
lodička-n	Volný čas: -koupání – vlastní pláž -vyjížďky na <lodičkách> -rybaření -houbaření -turistika -cykloturistika -vyjížďky parníkem -fotbal, nohejbal -ohniště	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
lodička-n	Poznávám a objevuji neskutečně rozmanitou komunitu lidí žijících na lodích a <lodičkách> -- od studentů, přes staré pardály, ať už rokery, buřiče, nebo přírodní pohodáře.. všichni po ránu postupně vylézají, zatápí a vaří čaj/kávu.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
lodička-n	Je povoleno krmit Spombem a partiklem !!!! - Je zakázáno vyjíždění lodí na vodu. - Je zakázáno používat zavážecí a zakrmovací <lodičky>. - Je zakázáno označení lovných míst - marker jen na změření hloubky - ten však nesmí být použit jako bojka. - Sonar, echolot (Deeper aj.) - povoleno.	a1.s1	a2.s4	a3.s4	a4.sx	a5.s1	a6.s1	a7.sx
lodička-n	Služby hotela Pobyt nebyl primárně s rozsáhlými doplňkovými službami, ale velmi příjemné je, že máte možnost kotvit vlastní člun zdarma a pokud máte zájem, můžete si od majitele půjčit <lodičku>, kterou s oblibou používali hosté - rybáři.	a1.s1	a2.s1	a3.s1	a4.sx	a5.s1	a6.s1	a7.s1
lodička-n	Chce to už jen psaníčko a <lodičky> na jehlovém podpatku a budete mít jistotu, že se váš společník nebude dívat na nikoho jiného.	a1.s2	a2.s2	a3.s2	a4.s1	a5.s2	a6.s2	a7.s2
lodička-n	Je jedno že jsme nepustili <lodičky> z ořechů,že tamhle padá hvězda ze stromku a támhle nezapálili svíčku, protože to nejdůležitější máme u jídelního stolu.	a1.s1	a2.s3	a3.s3	a4.s2	a5.s1	a6.s3	a7.s1
lodička-n	Ta se při pohybu přelévá a vzniknuvší hydraulické vlny tak mají podle konkrétního typu vložky pomáhat při běhu, kdy odlehčují náporu na pohybový aparát, při chůzi, stání v práci a při všemožných potížích (plantárka, patní ostruha, propadlá klenba, revma) a vyrábí dokonce i speciálně tvarované vložky do <lodiček>.	a1.s2	a2.s2	a3.s2	a4.s1	a5.s2	a6.s2	a7.s2
lodička-n	Šaty můžete doplnit společenskou kabelkou a <lodičkami> nebo bundičkou a sandálky.	a1.s2	a2.s2	a3.s2	a4.s1	a5.s2	a6.s2	a7.s2
lodička-n	Nezkušený farmář Jirka pluje na <lodičce> se svými nápadnicemi, se kterými hovoří o společné budoucnosti.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
lodička-n	Známá italská značka luxusní obuvi založena roku 1966 proslula svou kvalitně šitou, perfektně propracovanou obuví, které vévodí vždy módní <lodičky> a sandálky.	a1.s2	a2.s2	a3.s2	a4.s1	a5.s2	a6.s2	a7.s2
lodička-n	Či spíš on ji, naštvanou u jejího nepojízdného auta, v <lodičkách> a silonkách bádající, co [...]	a1.s2	a2.s2	a3.s2	a4.s1	a5.s2	a6.s2	a7.s2
