headword	text	sense1	sense2	sense3	sense4	sense5
餐厅-n	益民坊家电网消息2010年6月11日晚，在西安市阳阳国际广场的麦当劳<餐厅>内，洋溢着四年一度的特殊热情。	a1.s1	a2.s3	a3.s1	a4.s1	a5.s1
餐厅-n	祁占林（右）和阿不都热合曼·麦麦提在合伙开的<餐厅>里合影。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	餐厅是家庭中用来吃饭的地方，劳累了一天，回到家中，享受着家人精心准备的晚餐，与他们聊聊一天中发生的事儿，一定是一天中最幸福的事了，但是有时候难免胃口不好，食欲不振，其实这不仅仅跟心情有关，也有可能是<餐厅>装修不当导致的，那么什么样的餐厅装修效果比较好，餐厅装修使用什么色彩会使胃口大增？	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	在各色<餐厅>的菜单上总是少不了鳕鱼，它的做法多不胜数，但最受欢迎也最普遍的一种就是炸，以不同层次的口感带入腌进海盐味的鳕鱼肉，酥酥脆脆的口感，配上浓郁的蛋黄酱或是酸甜的番茄汁会是不错的搭配。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	进门的玻璃上，这家餐厅就用黑色的不干胶贴出了黑线组成的几何图形网络，从平行视线望去，就像为<餐厅>的餐桌和吧台上了一层设计感十足的滤镜。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	有意观赏文艺演出或者出入高级<餐厅>用餐的旅客，推荐准备一套正装。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	看看一下攻略，教你客厅、卧室、<餐厅>3大空间如何在新年里扩容、装饰！	a1.s3	a2.s2	a3.s2	a4.s2	a5.s2
餐厅-n	、火锅城点菜、麻辣烫店、KTV超市、酒店、饭店、食堂、<餐厅>、海鲜专卖店、冷冻食品批发、超市生鲜区	a1.s2	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	客人可以在OstaniLoungeBarandRestaurant酒廊酒吧和<餐厅>享用燃木炉烹制的传统比萨饼和小吃。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	酒店有齐全的餐饮设施:海棠<餐厅>、品聚餐厅、锦汇餐厅、霓湾餐厅、主席餐厅.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	谭家菜是最著名的官府菜代表，而北京饭店的谭家菜<餐厅>享誉海内外，因不满北京另一家酒楼挂上“世纪谭府”的匾牌，而将对方告上法院，并索赔50万元。	a1.s1	a2.s2	a3.s4	a4.s2	a5.s1
餐厅-n	海角轩(海鲜<餐厅>)	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	《食在囧途》由国内外顶尖喜剧制作团队合作完成，沿用国际最流行的喜剧模式，创新打造棚内“囧餐厅”，使<餐厅>服务生（固定主持群）与顾客（每期嘉宾及观众）间的零距离互动成为最大看点；同时巧妙结合棚内脱口秀、实验厨房、小剧场及棚外爆笑明星美食真人秀等多种形式，为观众奉上一场颜值与实力齐飞、喜剧与美食碰撞的多面囧途盛宴。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	而也有很多金边<餐厅>的美食带有中国风味，比如很多的炒米炒面。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	厂内景观靓丽，环境优美，另有240名员工用餐的职工<餐厅>，食宿方便，是您最佳选择！	a1.sx	a2.s2	a3.s1	a4.s2	a5.s1
餐厅-n	在附近找个好吃的<餐厅>&gt;&gt;&gt;看看有没有位&gt;&gt;&gt;再订一下，确保座位与折扣&gt;&gt;&gt;完。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	不过非在这里用餐的话，还是推荐到大榕树旁的“吉祥红餐厅”，这是一家主营传统白家菜的<餐厅>，明码标价，必点的是“大理酸辣鱼”。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	名厨坐镇、舒适又浪漫的用餐环境以及不断创新的菜式是glassbrasserie的优点；利用开放式的<餐厅>让食客一目了然，看到厨师烹饪的整个过程。	a1.s1	a2.s2	a3.s1	a4.s2	a5.s1
餐厅-n	通过以上介绍，相信你对餐厅巧用屏风隔断有一定的了解了吧，希望对你了解餐厅隔断有所帮助，若你还想了解更多有关<餐厅>隔断的相关信息，关注齐装网，里面有详细的信息。	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	在新一期《中餐厅》预告中，有一位嘉宾空降到节目录制现场，她对客人自称是<餐厅>老板的妈。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	他曾经在很多亚洲国家的五星级酒店当过大厨，在菲律宾开过<餐厅>和咖啡馆。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	度假村的4间<餐厅>和酒吧供应当地和国际美食。	a1.s1	a2.s1	a3.s1	a4.sx	a5.s1
餐厅-n	随后，有网友路透陈莹现身北京某商场<餐厅>与友人共进晚餐。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	一路上老哥指给我看不同风味的<餐厅>，吊胃口。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	无论在最雅致的<餐厅>，或者简单的路边摊，都可以享受到这道佳肴。	a1.s1	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	全新设备丶交通方便丶房间丶卫生间空间特大丶温馨舒适采光好丶离地鉄走路2分钟可到丶生活机能特佳丶中国超市丶百货公司丶各种美食<餐厅>都近在咫尺丶是短期纽约旅游或商务丶学生首选的好住処丶欢迎来电咨讯917-391-497	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	今天，我们跟随小编一起看看，怎样利用菜品提高加盟火锅<餐厅>的竞争力吧。	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1
餐厅-n	抵达后前往<餐厅>用餐，餐后办理入住酒店手续。	a1.sx	a2.s6	a3.s1	a4.sx	a5.s1
餐厅-n	往上有韩式<餐厅>，西餐厅，阿拉伯风味的餐厅，从口味上照顾了世界各地的人民。	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1
餐厅-n	如果在比较高档的<餐厅>吃饭，前菜一般需要150+克朗，主菜需要300+克朗，甜点120+克朗，无论是食材品质还是口味都远超魔都同价位西餐厅的水平。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	太阳旅游未来将致力打造成为高端订务平台，结合全球顶尖娱乐服务，提供全天候24小时的入场安排和订座服务，包括预订世界各地顶级酒店及特色<餐厅>，预留热门演唱会、时装展及体育盛事的VIP座位。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	学校办公楼、教学楼（每间教室配有宽带网络多媒体投影设备及空调）、运动场、<餐厅>、学生公寓（配空调和热水器）等教育教学设施一应俱全；实验室、学科专用教室、科技活动室、计算机教学室、学术报告厅、天象馆、阅览室等功能室按标准配备；师生享有就近利用广西大学图书馆、运动场、设备先进的实验室等丰富教学资源的便利条件。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	用餐：含7早9正餐其中九寨一中餐升级为美食九大碗，正餐八菜一汤（注：按十人坐一桌计算，若人数减少则按比例减少菜品和菜量、酒水自理、沟内自助餐和成都市内餐自理，景区地处偏远，沿线餐质较差，请游客提前做好心理准备）（景区段所含早餐和晚餐在所住酒店用餐，中餐在沿路指定<餐厅>用。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	有相关酒店餐饮工作经验，英语专业，旅游专业，航空服务优先；（此岗位针对各类<餐厅>的厨师）	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	多种用餐选择包含主打地道亚洲美食的全日制<餐厅>“嘉品”，提供京鸭缘烤鸭及正宗粤菜的海天阁中餐厅，美食坊“嘉味”则是一个消磨时光或品尝小食的舒适之选。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	必须知道的<餐厅>风水布局十三招	a1.sx	a2.s2	a3.s1	a4.sx	a5.s1
餐厅-n	阿曼诺葡国<餐厅>的主厨来自葡萄牙，且致力为顾客提供最正宗地道的葡萄牙美食，价格也较为合理。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	TripAdvisor有对超过400,000个地方的评语和资讯,包括:迅速获得最佳饭店、<餐厅>和活动指南.	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	小王在下班路上看到一家新开的<餐厅>，犹豫着要不要带新交的女友来这里吃饭，于是他登录饭统网，打开该餐厅的链接，发现网友们评价甚高，便决定去吃一次，没想到这家饭馆质量很一般，价格也不便宜，两人吃得很不爽。	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	第二天包含的自助早餐种类也很丰富，在顶层的旋转<餐厅>，很有feel！	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1
餐厅-n	酒店内部的吴稻香<餐厅>供应一系列当地粤菜。	a1.sx	a2.s2	a3.s1	a4.s1	a5.s1
