headword	text	sense1	sense2	sense3	sense4	sense5	sense6	sense7
bank-n	Take a leaf out the Bank of England's book and channel cheap loans via <banks> into non-financial businesses or those building homes.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	IDBI bank is the best <bank> for education loan to provide maximum academic expenses of any applicant.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	All funds will clear the <bank> before the vehicle or title is released.	a1.sx	a2.s2	a3.s2	a4.s2	a5.sx	a6.sx	a7.s1
bank-n	Set alongside the <banks> of a murky lake, Fog is a nicely balanced map that leaves the hairs on the back of your neck standing especially when that Halloween theme music rolls in, but more on that later.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.sx	a7.s3
bank-n	Some of these companies would even consider switching providers during the current crisis because of service issues: Nearly two-thirds (65%) said they might switch <banks> because their bank has no arrangements on teleworking.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	It's a scheme where instant credit can be given to a customer's account from another account across the differwent <Banks> in the Banking system.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Credit unions on the other hand captures a ton of new business from banks because many <banks> shut their doors and left town to protect stockholder' investments in our industry.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx	a7.s1
bank-n	If payment is made with a check it must fully clear my <bank> before bike will be released.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Kotak Mahindra bank, HDFC bank, Axis <bank> have done certain placements.	a1.sx	a2.s2	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Outstanding bad loans from commercial <banks> amounted to 2.61 trillion yuan (about 368.1 billion U.S. dollars).	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Payment of cash, or cashiers check will be accepted and must clear <bank> before title is transferred.	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	In developing countries, mobile banking meets different needs: the cell phone, in a way, is a substitute for a traditional bank since <banks> are often inexistent.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx	a7.s1
bank-n	Blame, too, the state of such bread-and-butter businesses as consumer and commercial-property lending, which are blowing new holes in <banks'> balance sheets."	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	He's not the best available shortstop, he's coming off a rough season, and teams may not be willing to break open the piggy <bank>.	a1.s1	a2.s11	a3.s5	a4.s3	a5.s1	a6.s3	a7.s1
bank-n	The few men that remains at the house from the Woods employed repairing the Slip where we generally carry our firewood up the <bank>. also cleand the inner yard &c."	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	Nikolai walked out across the uneven floor of the cavern until he reached the point where that first generation of Clansmen had smoothed away the granite to install row after row and bank after <bank> of complex manufacturing instruments.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Four banks lowered rates while 3 <banks> increased rates.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	This is delightfully situated upon the <banks> of the river.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	The bigger your deposit, the less you will need to borrow from the <bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	That's not just in a courtroom, but it's in applying to colleges where all the slots seem reserved for legacy admissions, or watching the government bail out the big <banks> even while they're foreclosing on your tiny house.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	This sort of digital wallet raises difficult problems for regulators, who rely on institutional intermediaries like <banks> as the point for monitoring transactions.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Why should they bail out the <banks>?	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	In other spots it was a constant catch 22 between trying to hit the spots by casting towards the <bank> (more stealthy but only gives you 1 shot since the boat is in fast water) or setting up on the inside and casting out towards the run where it felt like the fish were underneath us.	a1.s2	a2.s3	a3.sx	a4.s2	a5.sx	a6.s2	a7.s3
bank-n	coming from the north there's a pull in just before the road goes down hill. from here it's a very short scramble up the <bank> to the field corner and over the fence where triggy is only 50m away	a1.s2	a2.s2	a3.sx	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	"Whilst private investors have historically dominated the supermarket investment market, Colliers International have experienced a sharp increase in enquires from funds and syndicators targeting these assets given their attraction for investors when compared to returns for cash in <bank>."	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Yet as Xena threw another fish onto the <bank> she grabbed it by the line and shook it in the bard's face reminding Gabrielle of the day that Xena would not stop throwing fish into her face.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	Hudson must have learned his craft and skills by travelling with contemporary seafarers, probably British mariners and explorers (possibly even sailing with John Davis on one his voyages to the Arctic) or even in one of the fishing fleets that cross the Atlantic for the rich <banks> off Newfoundland.	a1.s2	a2.s1	a3.sx	a4.s1	a5.sx	a6.s2	a7.s4
bank-n	We struck out on warblers, but as we walked home I noticed some tiny doli flies on the leaves of skunk cabbage growing along the <bank> of a small stream.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	You will find cash machines outside both <banks> and some shops/stores.	a1.s1	a2.s4	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Good places to try are the north banks of Big and Little Mustang, and Williams Creek, also the west <bank> of Running Creek, and in Coffee Creek, a lot of good grass to fish in these areas right now, Long Branch is also good now and it is well protected from the wind.	a1.s2	a2.s2	a3.s2	a4.s1	a5.sx	a6.s2	a7.s1
bank-n	Huarong was given the title of 'bad bank' as it took some of the ugliest loans off the state-owned <banks> who needed to get rid of debt to appear more attractive.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	However, the majority of borrowers go with A lenders like <banks> and other reputable financial institutions.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	A voltage-controlled preset manager provides morphing control between 8 active presets per <bank>.	a1.s5	a2.s1	a3.s4	a4.sx	a5.s1	a6.sx	a7.s7
bank-n	We watched Andy N. reel in a dozen white suckers and shortheads before we scrambled down the <bank> to join them.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	Despite cleanup efforts, pedestrians who wanted to stroll along its <banks> often found that trails or walkways would abruptly end.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	"Visa B2B Connect represents a noncard, cross-border B2B payments network, serving financial institutions and their corporate clients who need a fast, simple and secure way to send and receive high-value international B2B payments, directly from the originating <bank> to the recipient bank."	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx	a7.s1
bank-n	Range Bank is the 28th largest <bank> in Michigan with 10 branches; 202nd in Wisconsin with 1 branches.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	In the Centro Comercial, an upscale shopping center in downtown Managua, the usually bustling avenues were empty, save for the watchmen outside shuttered storefronts and a short line of men waiting to use the ATM outside a closed <bank>.	a1.s1	a2.s4	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The exact wire fee cost varies from bank to <bank> but usually runs between Rs. 1000 and Rs. 1500.	a1.s2	a2.s1	a3.sx	a4.s2	a5.sx	a6.sx	a7.s1
bank-n	While domestic banks have been bogged down in real estate and securities loans since 2007, foreign <banks> have avoided the troubles (they have only used a part of their capital to purchase government bonds with the risk of nearly 0%).	a1.s1	a2.s5	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	These <banks> are the State Bank of India, Bank of Baroda, HDFC Bank and Union Bank of India, according to a PTI report.	a1.sx	a2.sx	a3.sx	a4.sx	a5.s1	a6.sx	a7.s1
bank-n	But it's a Honda 4 with one overhead cam per cylinder <bank>.	a1.s3	a2.sx	a3.s4	a4.s4	a5.s1	a6.s4	a7.s5
bank-n	After tweeting on Wednesday that he might have secured funding for a deal to make Tesla a private company, <banks> like Citigroup and Goldman Sachs are trying to land the deal.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Some of these platforms are run by the by the big <banks> like Barclays and HSBC, whose unconvincing approaches to ethical issues we have covered in more detail in our guides to current and savings accounts.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The sum of currency outside <banks> plus demand deposits held in the financial system by the rest of the domestic economy, other than central government.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The white demi-god goat child scrambled up the <banks> until the ground beneath her turned into some sort of shiny, shimmering material.	a1.s2	a2.s7	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	"Revetment of Indiana <bank> opposite Uniontown, Ky. View of caving bank looking upstream from approximate Station 43+00...	a1.s2	a2.s1	a3.s1	a4.s2	a5.s1	a6.s5	a7.s3
bank-n	Foreign bank entry significantly reduces domestic banks' share of deposits while foreign <banks> typically allocate less of their assets and deposits to lending.	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Flash flood warnings were in effect as I approached the campsite, and the main creek was swollen beyond its <banks> to nearly three times its width.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	In the days immediately following the 2003 NFL draft, Ike Taylor arrived in Pittsburgh from Gretna, La., a small town on the west <bank> of the Mississippi River.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Valvetrain: Two intake valves and one sodium-filled exhaust valve per cylinder actuated via a single overhead camshaft per <bank>.	a1.s3	a2.s13	a3.s4	a4.s1	a5.s3	a6.s4	a7.s5
bank-n	The "Petite Rivière" flows onto the west <bank> of the Cami River.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Many central <banks> have thus taken on the role of market makers to ensure that liquidity remains high enough to keep the companies facing this constraint from becoming insolvent.	a1.s1	a2.s1	a3.s1	a4.s1	a5.sx	a6.s1	a7.s1
bank-n	They said that it was deposited into my bank account at columbia <bank>....	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	<Banks> like HSBC [The Hong Kong and Shanghai Banking Corporation] will likely feed the bulk of that demand.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	A man took hostages inside a <bank>, demanding money.	a1.s1	a2.s10	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	What he really meant was if your only intention was to keep your money inside piggy <bank> or stash it under the pillow, then you're fighting a losing game against the inflation.	a1.s1	a2.s11	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	This will require a little research and if you have no access to a boat, you'll be fishing off the <banks>, which can be equally enjoyable.	a1.s2	a2.s6	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	The first happened shortly after the artwork was finished, when the Arno River spilled over its <banks> in 1547.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	Customers hold $1.43 billion in deposits with the <bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	It was also to act as the country's development <bank> until specialized banks were established for various sectors.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Quite a bit of recent windfall as of Oct 2017 - most easily negotiable, although one creek bed near S40° 47.792' E175° 29.333' requires some care to get in and out of (mind the onga onga), and another scramble down the <bank> above a decent blockage at S40° 48.625' E175° 28.981'.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2
bank-n	Today, the Fed needs to settle only a relatively small number of transactions between <banks> each day after banks have aggregated their own transactions.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Prominent in this assault were the House of Morgan, investment banks like Kuhn Loeb, Brown Brothers, and W.A. Harriman, and big <banks> like Chase and National City Bank.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The International Banking Act of 1978, as amended, mandated that the Federal Reserve must approve the establishment of U.S. offices by foreign banks if the <bank> is under comprehensive and consolidated regulation by its home country's authority.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	But still, if you need a card and can't get it, this is your option The company s name that i got the pay day loan from is supposed to be i went to the bank getting that resoloved i went to the state police me and said that i owed him money from a pay day loan through meta <bank>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	What exactly is a bank versus a commercial bank versus an investment <bank>?	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
bank-n	Located on the <bank> of the Tsaritsa River, the theater was destroyed in the Battle of Stalingrad in 1932.	a1.s2	a2.s2	a3.sx	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	As a cohort, they have profited immensely from this system of fortressed wealth, and they're fully aware that any real effort to address the problem is going to involve busting open the piggy <bank>.	a1.s1	a2.s12	a3.s3	a4.s3	a5.s1	a6.s3	a7.s1
bank-n	Secondly, CBDCs might undermine existing <banks> so banks need to upgrade their technologies to compete.	a1.sx	a2.s1	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	"This all is being exposed, along with the disgraceful and deliberate failures of <bank> after bank when dealing with their prime customers through their 'wealth management' divisions.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx	a7.s1
bank-n	Banks don't want loans at these low rates so my <bank> immediately sold my loan to Freddie Mac.	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The announcers hype <Banks> vs. Belair vs. Lynch at WWE Crown Jewel in Saudi Arabia.	a1.s1	a2.sx	a3.s1	a4.sx	a5.s5	a6.s1	a7.s2
bank-n	These people are being hired by movie studios, Fortune 500 companies, technology companies, lawyers, police, jury selection, Wall street, <banks> and other financial institutions to forecast the future and give advice.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Organized frequently by major <banks> like ICICI, ABN Amro, HDFC, Citibank etc., these special events are becoming quite a rage, as they provide good value used cars at a great price.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The applicants A, B, C and D have pleaded quite an elaborate scheme in which they seek to implicate the bank E by saying that 9 the monies were deposited into the <bank>.	a1.s1	a2.s1	a3.sx	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	You may have heard the "left bank vs. right <bank>" debate from Bordeaux drinkers, yet most won't turn down a great wine from either side.	a1.s1	a2.s11	a3.s1	a4.sx	a5.s1	a6.s1	a7.s1
bank-n	In the UK public services are under attack whilst the bailed out <banks> profiteer from fossil fuel investment.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	I wanted the realtor to talk to the <bank> since the bank was paying them the full 6% commission, but its tough getting the realtor to be tough with the loss mitigation rep.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Failure or near-failure of <banks> like Citibank, RBS, and Fortis required rescues and restructurings that ran to billions of dollars, pounds, and euros.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	A lot of news have been published in recent days about SWIFT sanctions on some Iranian <banks> while some banks have got US sanctions waiver, he said, adding, "totally, the source of these news has not yet been confirmed and cannot be relied upon."	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Talking about queues outside <banks> and ATMs, Jaitley said there was cash crunch and RBI has more than adequate cash to last not just till December 30 but even more.	a1.s1	a2.s9	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	As a result of this relationship Arccon and CIA are able to not only have access to some of the projects MCC and China Non Ferrous are working on (evident in recent contract announcements), but also have access to cheap project financing via the Chinese <banks>.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	Again the Missouri River was on the rampage, swelled by the heavy snows in the mountains, she spilled over the <banks> in April, 1942.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	The trail was very badly eroded on the <bank> above the stream, November 15, 2011.	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s3
bank-n	While the fighting was still going on in Rees British sappers started buidling a bridge from the <bank> opposite the town.	a1.sx	a2.s2	a3.s2	a4.s2	a5.sx	a6.sx	a7.s3
bank-n	earn.<bank> is an entirely online bank.	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Lord Acton, who famously warned about the corrupting influence of power, shared another critical insight: ?The issue which has swept down the centuries and which will have to be fought sooner or later is the people versus the <banks>.?	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
bank-n	The Islamic National Bank opened in Gaza on 21 April, making it the first <bank> to operate outside of Palestinian Monetary Authority control.	a1.sx	a2.s1	a3.sx	a4.sx	a5.sx	a6.sx	a7.s1
bank-n	Senders simply need to register for an account with their <bank> and send payments to a mobile device over SMS, data or even through the new BUMP technology.	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1
