headword	text	sense1	sense2	sense3	sense4	sense5	sense6	sense7
bomba-n	3,5 y 4,8 bar: ósmosis sin <bomba>.	a1.sx	a2.s3	a3.s13	a4.s3	a5.s1	a6.s2	a7.s1
bomba-n	Cuando Alfonso XIII y la reina Victoria Eugenia regresaban al Palacio Real, después de la boda, sufrieron un atentado mediante una <bomba> escondida en un ramo de flores, lanzada por el anarquista Mateo Morral a su carroza, frente al número 885 de la calle Mayor de Madrid.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s2	a6.s1	a7.s2
bomba-n	El árbol de levas y la <bomba> de aceite son bastantes fáciles de acceder.	a1.s2	a2.s3	a3.s18	a4.s3	a5.s1	a6.s2	a7.s1
bomba-n	México.-El primer ministro sudanés Abdalá Hamdok escapó este lunes a un atentado con <bomba> en Jartum, la capital del país, anunciaron su jefe de gabinete y los medios oficiales.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s2	a6.s1	a7.s2
bomba-n	Es un viaje artístico a través de la historia de la dominación de la ciudad, desde los fenicios hasta el dominio español, pasando por el Imperio Romano en Karalis (Cagliari), para terminar con una ciudad en busca de refugio contra las <bombas> aliadas en la Segunda Guerra Mundial.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s2	a6.s1	a7.s2
bomba-n	Y si necesita aún más, pida la <bomba> hidráulica opcional de 94 l/min.	a1.s2	a2.s3	a3.s4	a4.s3	a5.s1	a6.s2	a7.s1
bomba-n	En la segunda manga Adrián Fenilli (9), con dos <bombas> desde tercera dimensión y el siempre presente Guido Peccia (18) anotaron todos los puntos de Bella Vista.	a1.sx	a2.sx	a3.s22	a4.s6	a5.sx	a6.sx	a7.sx
bomba-n	Los miembros del grupo han utilizado incendios premeditados y amenaza de <bomba> en contra de grupos budistas rivales.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s2	a6.s1	a7.s2
bomba-n	<Bombas> de achique: Son máquinas destinadas a elevar líquidos, generalmente con objeto de extraerlos de los compartimentos interiores de la embarcación.	a1.s2	a2.s5	a3.s3	a4.s3	a5.s1	a6.s2	a7.s1
bomba-n	El caza ruso Su-25, un avión subsónico y capaz de llevar gran cantidad de misiles y <bombas>, enviado a Siria para participar en operaciones antiterroristas rusas.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s2	a6.s1	a7.s2
bomba-n	Una bomba neumática es una <bomba> de desplazamiento positivo que es accionada por aire a presión para el transporte de productos y fluidos.	a1.sx	a2.sx	a3.s3	a4.s1	a5.s1	a6.sx	a7.s1
bomba-n	Los inhibidores de la <bomba> de protones (PPIs por sus siglas en inglés) son medicamentos para la acidez estomacal, incluidos Prevacid, Prilosec y Nexium.	a1.sx	a2.s1	a3.s12	a4.s5	a5.s3	a6.s2	a7.s1
bomba-n	El hipocentro exacto de la bomba de Hiroshima, el punto sobre el que la <bomba> estalló, está una calle situada unos 50 metros al este del A-Dome, en un lugar de lo más anodino que hoy ocupa un hospital, pero donde hay una placa que recuerda esto (en la ciudad hay muchísimos carteles que cuentan cosas del bombardeo y los efectos horrorosos que causó en cada lugar).	a1.sx	a2.s1	a3.s1	a4.s2	a5.s2	a6.s1	a7.s2
bomba-n	La frutilla del postre la otorgó Christian "Chino" Safar (6), que anotó dos <bombas> desde Saturno para concluir la faena del local.	a1.sx	a2.sx	a3.s3	a4.s6	a5.sx	a6.sx	a7.sx
bomba-n	hidrociclones. venta de maquinarias los hidrociclones fueron originalmente diseñados para promover la el tamaño de corte y la eficiencia de la separación son controlados los hidrociclones son sin lugar a dudas junto con las <bombas> centrífugas los equipos más difundidos en la industria del tratamiento de minerales .	a1.s2	a2.s3	a3.s4	a4.s3	a5.s1	a6.s2	a7.s1
bomba-n	La terapia de primera línea aprobada por la mayoría de las agencias regulatorias de los países incluyen inhibidor de <bomba> de protones y dos antibióticos, o incluyen Subsalicilato de bismuto, supresor ácido y dos antibióticos (amoxicilina, claritromicina, metronidazol, tetraciclina) por 10 a 14 días con 85% de erradicación.	a1.sx	a2.sx	a3.s12	a4.s5	a5.s3	a6.s2	a7.s1
bomba-n	Suelo radiante + climatización mediante <bomba> de calor integral + agua caliente solar	a1.s2	a2.s2	a3.s2	a4.s3	a5.s1	a6.s2	a7.s1
bomba-n	Todo ello cuenta con instalaciones de riegos automáticos y manuales con extracción de agua de pozo mediante <bomba>.	a1.s2	a2.s3	a3.s4	a4.s3	a5.s1	a6.s2	a7.s1
bomba-n	<Bomba> de agua de riego agrícola con motor diesel, alta calidad con precio razonable.	a1.s2	a2.s3	a3.s4	a4.s3	a5.s1	a6.s2	a7.s1
bomba-n	Las Figuras N16 y N22 muestra la relacin entre la Carga neta de la <bomba> con el caudal (curva caracterstica de la bomba), se observa que existe una relacin inversamente proporcional.	a1.s2	a2.s3	a3.s4	a4.s3	a5.s1	a6.s2	a7.s1
