headword	text	sense1	sense2	sense3	sense4	sense5	sense6
kroon-s	Peale selle, kui <kroon> devalveerida ja arvestada, et laenud on võetud eurodes - oleks kinnisvarakrahh tundide küsimus.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Sent või <kroon> Tasu maksmine autorile toimub autori esitatud avalduse alusel.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	5) määruse lisa 3 Mootorsõiduki kasutamise kulude kompenseerimise üldine juhend kolmanda lõigu esimeses punktis asendatakse sõnad 4 <krooni> sõnadega 0,26 eurot.	a1.s2	a2.sx	a3.sx	a4.s6	a5.sx	a6.s1
kroon-s	Tuleva aasta riigieelarve kulude tase on võrreldav käesoleva aasta kuludega, mis on mahus 89,6 miljardit <krooni>.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Pangasektoris tõusis kõige rohkem - 4, 5% - Ühispanga aktsia, mis sulgus 126, 50 <krooni> tasemel.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Tol korral ei olnud ministeeriumil ka nii palju raha, et selle näituseruumi eest normaalselt renti maksta, ja me küsisime siis renti viis <krooni> ruutmeetrilt, mis oli toonaste reeglite järgi kõige madalam rendimäär, mida üldse üks linnavalitsus küsida võis.	a1.s2	a2.s2	a3.s1	a4.s2	a5.sx	a6.sx
kroon-s	Norra <kroonil> 2 aasta suurim kukkumine	a1.sx	a2.sx	a3.sx	a4.s2	a5.sx	a6.sx
kroon-s	"Vastuseks võin kindlalt väita, et viimase nelja aasta jooksul ei ole ükski sadam maailmas Tallinnast kiiremini arenenud," ütles Sarap, kes asus sadamat juhtima 1994. aasta novembris ja tõi selle 90-miljonisest kahjumist mullu 160 miljoni <kroonini> ulatunud kasumisse.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Kas <kroonidele> peaks reteineri ...	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Õied on kahesugulised, kaheli õiekattega, mille tupp ja <kroon> on liitlehised.	a1.s4	a2.s3	a3.s6	a4.s9	a5.sx	a6.s3
kroon-s	<krooniga> kasumisse, mullu samal ajal oli ettevõte 1,3 miljonit krooniga kahjumis	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Linn emiteeris 2006. aasta investeeringute katteks ning olemasolevate laenukohustuste refinantseerimiseks pikaajalised võlakirjad mahus 41,3 miljonit eurot ehk 646,2 miljonit <krooni> tähtajaga 15 aastat.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Eurole üleminek tähendab, et Euroopa Keskpank vahetab Eesti <kroonid> eurode vastu.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Kui te täidate eelarve <krooni> täpsusega, siis määrab PRIA toetuse täpselt selle järgi.	a1.s2	a2.sx	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	EE vähem kui kaks nädalat väldanud 15 miljoni <krooni> suuruse aktsiaemissooni märkisid ennetähtaegselt täis firma endi omanikud, lisades aktsiakapitali 10 miljonit krooni ning kustutades ligikaudu viie miljoni krooni eest laene.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Kokkuvõttes : Eesti peab lisaks välja käima vähemalt 5 miljardit <krooni> aastas.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Eesti kõige vaesemad pered, kelle heal juhul vaid mõne tuhande <kroonini> küündiv kuusissetulek ei luba neil sageli isegi arsti juurde minna, elavad Jõgevamaal, Valgamaal ja Ida-Virumaal.	a1.sx	a2.sx	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Alustanud hinnavaatlusi juba paar aastat enne eurole üleminekut, on võimalik jälgida hinnatrende, mis annavad selgust tavapärastest hooajalistest hinnamuutustest ja muutustest, mis tekivad üleminekul <kroonilt> eurole.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Kogu tarkvaraarendusturu aastamaht jääb umbes 300 miljoni <krooni> piiresse.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Kõrgendatud maksumäära, 24 <krooni> tunnist, tahab linn rakendada Vabaduse väljakul, Pärnu ja Narva maanteel ning Roosikrantsi, Sakala, Kentmanni, Liivalaia ja Pronksi tänaval.	a1.s2	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Pentuse sõnul on Reformierakonnal küll aga plaan parandada linna rahalist positsiooni oluliselt nii varsti 100 miljoni <kroonini> ulatuvast propagandamasinast loobumise, linnaaparaadi enda igapäevaste majandamis- ja palgakulude kärpimise kui eurorahade kasutuselevõtu läbi.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Alles kümmekond aastat tagasi, enne <krooni> ja iseseisvust, kiputi Eesti popmuusika kohta ütlema levimuusika.	a1.sx	a2.s2	a3.sx	a4.s1	a5.s2	a6.sx
kroon-s	"100 000 <kroonini> ulatuvate palkadega rootsidemokraatidest on saanud lodevad ja väsinud mugavusesoovijad," teatas esimees Gustav Kasselstrand uue partei asutamise puhul korraldatud pressikonverentsil.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Järgnevas tabelis on illustreeritud, kuidas konteineri tühjendushind muutub, kui ladestustasu tõuseb 431,9 <kroonilt> tonni kohta kuni 514,5 kroonini/tonn.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Ning kui arvestada, et RSi eest küsitakse kenasti vähem kui pool miljonit <krooni>, võib seda Impreza ja Evo X asemel soovitada küll.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Eelmisel aastal maksis kaubamaja dividende üks <kroon> aktsia kohta.	a1.s2	a2.s2	a3.s1	a4.s5	a5.sx	a6.s1
kroon-s	Käesoleva aasta täpsustatud prognoosi kohaselt makstakse tänavu taastuvenergia ja tõhusa koostootmise toetusi kokku ligi 700 miljoni <krooni> ulatuses.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Aruandes esitatud eelneva perioodi (31.03.2010 lõppev majandusaasta) võrdlusandmete ümberarvestamisel Eesti <kroonidest> eurodesse lähtutakse Euroopa Liidu Nõukogu määruses kinnitatud valuutakursist.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Näiteks kui inimese sissetulek on 5000 krooni kuus ja ta võtab SMS laenuna 10000 <krooni> intressiga 15% kuus, siis selline tegevus viib paratamatult antud inimese maksejõuetuseni, kuigi esimesel kuul on inimesel tõesti veidi rohkem raha kasutada.	a1.s2	a2.s2	a3.s1	a4.s5	a5.sx	a6.s1
kroon-s	Olympic Entertaiment Groupi aktsia hinna kerkimine 19 protsendi võrra 87 <kroonini> tähendab seda, et suuromaniku Armin Karule kuuluv osa väärtus kerkis 3,4 miljardi kroonile.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Foto : Raigo Pajula Kuigi ravikindlustuse eelarve kosub 2006. aastal tervelt 1,3 miljardi krooni võrra, arvestab valitsus praegu haigekassa tulevase 80 miljoni kroonise defitsiidiga ja haiglate liit ennustab koguni 190 miljoni <kroonini> ulatuvat auku.	a1.sx	a2.s2	a3.s1	a4.s2	a5.s2	a6.s1
kroon-s	Näitaja väärtus <kroonides> n-s rida Väli 1 2 3 4 5 Pank Kuupäev Kirjekood Valuuta Summa Andmetüüp/ maks.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	100 <krooniga> toetas üle 12 000 annetaja ning 500-krooniseid helistamisi oli 951.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Nelja kuu jooksul on RMK teeninud 75,8 miljonit <krooni> riigieelarvesse kantavat metsatulu, mis on 49% kogu aastale prognoositavast summast.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	Märtsis tehti väljamakseid 7,2 miljardi <krooni> ulatuses, mis on 7,6 protsenti riigieelarves kogu aastaks planeeritud kuludest.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Kui politseiameti kulusid taheti kärpida 100 miljoni <krooni> võrra, siis arvutas siseministeerium kohe välja, kui palju vähendab selle raha võrra politseipatrullide arv ning nende reageerimiskiirus.	a1.sx	a2.s2	a3.s1	a4.s2	a5.s2	a6.s1
kroon-s	[tsiteeri]Vaatasin siin tosse ja konks on selles, et 300 <krooniga> võid DC tossud saada lapsele või siis kui su jalanr on 35.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	<kroonini> eelmise aasta 4,4 milj.	a1.sx	a2.sx	a3.s1	a4.s2	a5.sx	a6.sx
kroon-s	Sel on ka nööbid ilma kolme <kroonita> ja üldse praktiline riietus.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Kõigele <krooniks> pidi ta seda saladust, mille jälile ta oli kuidagimoodi saanud ja mis teda rusus, ainult enda teada hoidma ja varjama seda isa eest, keda ta sügavalt austas – saladust, millest kogu linn sosistas, mille üle lastepreilid naersid ja millele tema õed süütult ja pahaaimamatult kaasa aitasid.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Ent kui see 1 : 10 kursiga <kroonideks> vahetati, jäi alles 600 krooni.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Riik andis nii kaupmeestele eeskuju, järgimaks häid tavasid hindade konverteerimisel <kroonidest> eurodeks.	a1.s2	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Kõige <krooniks> tuli nüüd päike ka välja - jalutama!	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	40 <krooni> päevas Mehed elavad kolmel korrusel.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	"Kui ma Teist õigesti aru saan, saab Hispaaniast kuningriik ilma kuningata ja Teist kuningas ilma <kroonita>," sõnas Canaris.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Kuid samas on Tallinna Soojus miljonitesse <kroonidesse> ulatuvate võlgadega kinnisvarahooldusfirmade vastu võimetu.	a1.s2	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Nendel, kes mahuvad hüvitatava 20 000 <krooni> piiridesse, peaks hoiuse suurus olema üle 22 000 krooni.	a1.sx	a2.sx	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Yannakis väitis, et Maroussi jaoks oli juba finaalipääs suur õnnestumine : "Olen rahul, et saame raske ja pika hooaja <kroonina> siin mängida ning kohtuda väga tugeva meeskonnaga.	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	a6.sx
kroon-s	Rahandusministeerium esitab vastavalt Rapla Vallavalitsuse taotlusele Vabariigi Valitsusele otsustamiseks korralduse eelnõu 145 000 <krooni> eraldamiseks ja koos eriarvamusega alternatiivse korralduse eelnõu 125 000 krooni eraldamiseks Vabariigi Valitsuse reservist.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Üüri tõsteti avaldaja eluruumi suhtes 1994.a. 2,5 kroonilt 4 kroonini ning 1995.a. 4 kroonilt 8 <kroonini> ruutmeetrilt.	a1.s2	a2.s2	a3.s1	a4.s1	a5.sx	a6.s1
kroon-s	" Toona uuriti Eestis, Bulgaarias ja Venemaal algatatud kriminaalmenetlustes rahapesuskeeme, mille abil Bulgaaria ajakirjanduse andmetel oli liikunud lausa 15 miljardi Eesti <kroonini> ulatuvad summad.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.s1
kroon-s	Miljoni <kroonini> ulatuvaid arveid on füüsilistel isikutel vaid kolm	a1.sx	a2.s2	a3.s1	a4.s2	a5.s2	a6.s1
kroon-s	Abilinnapea Ivar Virkuse sõnul otsustas linn katkestada uute üürimajade ehitamise, sest uue korteri ruutmeeter maksaks 9000 krooni, kasutatud pinna ostmise korral jääks ruutmeetrihind aga 4000 <krooni> piirimaile.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	See on püha energia ehk elujõud, mis laskub läbi <krooni> kehasse ja vaimu, ütlevad David ja Helen Ramsdale, raamatu "Sexual Energy Ecstasy" (Peak Skill Publishing) autorid.	a1.sx	a2.sx	a3.s5	a4.s1	a5.sx	a6.sx
kroon-s	Klubi takso sõidutariif on ainult 4.50 krooni, seisuaeg aga 120 <krooni> tunnis, mis tähendab, et taksomeeter hakkab ootetasu lugema juba 27-kilomeetrise tunnikiiruse juures.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Kui suurendada vanema tulumaksuvaba miinimumi iga lapse pealt seniselt 800 <kroonilt> kuus 1000 krooni võrra, kuluks selleks riigieelarvest üle miljardi.	a1.sx	a2.s2	a3.s1	a4.s1	a5.sx	a6.sx
kroon-s	Ansip ei välista laenu Peaministrikandidaat ja Reformierakonna esimees Andrus Ansip pole välistanud võimalust, et pensioniraha kokkusaamiseks tuleb laenu võtta või kasutada praegu viie miljardi <kroonini> küündiva riigi stabiliseeerimisreservi summasid.	a1.sx	a2.s2	a3.s1	a4.s1	a5.s2	a6.sx
kroon-s	Hansapanga aktsiaga tehti 6 tehingut 0,1 mln <krooni> väärtuses, aktsia kaotas 0,97 protsenti oma väärtusest.	a1.sx	a2.sx	a3.s1	a4.s1	a5.s2	a6.sx
