headword	text	sense1	sense2	sense3	sense4	sense5	sense6	sense7
Bank-n	Jetzt gibt es endlich auch Rollenangebote aus der Heimat wie "Vier gegen die <Bank>" und "Kundschafter des Friedens".	a1.s3	a2.sx	a3.s1	a4.s22	a5.s1	a6.s1	a7.s1
Bank-n	Ich legte das Tischtuch auf die <Bank> neben der Haustür und machte mich auf den Weg.	a1.s2	a2.s2	a3.s2	a4.s10	a5.s2	a6.s2	a7.s2
Bank-n	Quicken kann nuir auf Depots zugreifen, wenn die <Bank> das via HBCI anbietet.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Europas <Banken> haben sich seit der Finanzkrise nicht wirklich nennenswert gestärkt, um eine nächste Krise zu überstehen.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Bietet eine <Bank> neben einem kostenlosen Girokonto und einer Kreditkarte auch ein sicheres TAN-Verfahren, eine gute Erreichbarkeit, umfangreiche Informationen, unterschiedliche Anlagemöglichkeiten sowie eine optimale Beratung, ist die Frage "Wieso eine Bank wechseln?	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	So werden Entscheidungen über Kreditvergaben seitens der <Banken> zunehmend von Compliance-Erwägungen abhängig gemacht.	a1.s1	a2.s1	a3.s1	a4.s21	a5.s1	a6.s1	a7.s1
Bank-n	Das Verhältnis der UBS zur Öffentlichkeit ist erschüttert, seit die Nummer eins der Schweizer <Banken> während der Finanzkrise gerettet werden musste.	a1.s1	a2.s1	a3.s1	a4.s9	a5.s1	a6.s1	a7.s1
Bank-n	Weil er eben dies nicht verstand oder zumindest anders interpretiert hat und Richter Horn obendrein mit der Bemerkung "So eine Bürgschaft ohne <Bank> ist die Eintrittskarte für einen Kredit bei jeder anderen Bank" auf die Palme bringt, stellt der Pate sich ein schwaches Zeugnis aus – und entlastet, gewollt oder ungewollt, den Angeklagten signifikant.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	An einem idyllischen Platz lädt eine <Bank> zum freundlichen Verweilen ein.	a1.s2	a2.s2	a3.s2	a4.s5	a5.s2	a6.s2	a7.s2
Bank-n	Weitere Infos Rettungsschirme für Menschen statt <Banken> Tag der Solidarität in Saarbrücken Die DKP Saarland unterstützt die lokalen Aktionen zum europaweiten Streik- und Aktionstag am 14. November 2012. Im Aufruf des Bündnisses heißt es: "Viele Menschen in Europa leiden unter der Finanz- und Wirtschaftskrise.	a1.s1	a2.sx	a3.s1	a4.sx	a5.s1	a6.s1	a7.s1
Bank-n	Bleiben Sie etwas länger da, setzen sich auf eine der <Bänke>...	a1.s2	a2.s2	a3.s2	a4.s10	a5.s2	a6.s2	a7.s2
Bank-n	"Geld ist auf der Effektenbörse gewöhnlich wolhlfeiler als irgendwo anders", sagt 1848 der damalige Gouverneur der <Bank> v. E. vor dem geheimen Komitee der Lords.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.sx	a7.s1
Bank-n	Bereicherungsrechtliche Ansprüche scheiterten schließlich daran, dass die vorzeitige Ablösung des Darlehens und die Übernahme der Finanzierung durch eine andere <Bank> nebst Übertragung der Sicherheiten als kausaler Anerkenntnisvertrag aufzufassen seien, der einen umfassenden Einwendungsverzicht der Kläger enthalte.	a1.s1	a2.s1	a3.s1	a4.s2	a5.s1	a6.s1	a7.s1
Bank-n	Europäischen Aufsichtsbehörden für Wertpapiere und <Banken> kritisieren aufgrund der hohen Risiken die CFD als hoch spekulativ und raten (vor allem) unerfahrenen Privatanlegern von einer Anlage in CFD ab.	a1.s1	a2.sx	a3.s1	a4.s9	a5.s1	a6.s1	a7.s1
Bank-n	Die Nebenkosten des Vertrages trägt die Käuferin. 2. Zugestimmt wird auch der Vorwegbeleihung des Grundstückes zugunsten der finanzierenden <Bank>.	a1.s1	a2.s1	a3.s1	a4.s11	a5.s1	a6.s1	a7.s1
Bank-n	Vorteil: Bin bei keiner <Bank>, Versicherung oder Bausparkasse angestellt und kann somit brachenneutral und brachenunabhängig beraten.	a1.s1	a2.sx	a3.s1	a4.s9	a5.s1	a6.s1	a7.s1
Bank-n	Der Himmel strahlt unendlich blau keine weiße Wolke zu sehen die Sonne brennt heiß auf staubigen Wegen sitze auf einer <Bank> will mich nicht regen das Korn leuchtet golden auf den Feldern Kühle versteckt sich in grünen Wäldern.	a1.s2	a2.sx	a3.s2	a4.s10	a5.s2	a6.s2	a7.s2
Bank-n	Auf den <Bänken> vor der Hütte genießt man die Sonne oder lässt sich in der originalen Stube die Wärme eines Glühweins oder Jägertees schmecken.	a1.s2	a2.sx	a3.s2	a4.s10	a5.s2	a6.s2	a7.s2
Bank-n	Hat der Darlehensnehmer die Bearbeitungsgebühr an seine <Bank> bezahlt, konnte er diese deshalb schon seit einer Entscheidung aus dem Jahr 2014 von der Bank zurückverlangen.	a1.s1	a2.s1	a3.s1	a4.s13	a5.s1	a6.s1	a7.s1
Bank-n	Jedoch kann die <Bank> gegen den Kunden einen Schadenersatzanspruch auf Rückbelastung in gleicher Höhe nach § 675v Abs. 2 S. 2 Nr. 1 BGB haben, den sie ihm erfolgreich entgegen halten kann (sog. dolo-agit-Einwand, § 242 BGB).	a1.s1	a2.s1	a3.s1	a4.s23	a5.s1	a6.s1	a7.s1
Bank-n	Verbraucher , denen das Darlehen seitens Ihrer <Bank> infolge Zahlungsverzugs gekündigt wurde, schulden ihrer Bank keine Vorfälligkeitsentschädigung.	a1.s1	a2.s1	a3.s1	a4.s39	a5.s1	a6.s1	a7.s1
Bank-n	Es ist aber auch in Ordnung, einfach auf der <Bank> vor der Scheune zu sitzen, an nichts zu denken und in die warmen, gelben Strahlen zu blinzeln.	a1.s2	a2.s2	a3.s2	a4.sx	a5.s2	a6.s2	a7.s2
Bank-n	Da saßen sie, manchmal mit leerem Magen, auf <Bänken> ohne Lehnen in einem Zimmer, das so kalt war, dass man seinen Atem einen Meter vor sich sehen konnte, und studierten Mathematik vier Stunden hintereinander.	a1.s2	a2.s2	a3.s2	a4.s10	a5.s2	a6.s2	a7.s2
Bank-n	" In den Dokumenten, die er den Behörden übergeben habe, tauchten Millionen an Transaktionen zwischen verschiedenen <Banken> auf.	a1.s1	a2.s1	a3.s1	a4.s12	a5.s1	a6.s1	a7.s1
Bank-n	" Das DRK ruft dringend zu Spenden für die Erdbebenopfer auf: Spendenkonto: IBAN DE63370205000005023307 BFSWDE33XXX (<Bank> für Sozialwirtschaft) Stichwort: Erdbeben Nepal	a1.s1	a2.s1	a3.s1	a4.s9	a5.s1	a6.s1	a7.s1
